Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Duration,Flow IAT Mean,Pkt Len Mean,Pkt Len Std,SYN Flag Cnt,ACK Flag Cnt,RST Flag Cnt,FIN Flag Cnt,Down/Up Ratio,Active Mean,Idle Mean
10/09/2026 09:09:20,55,32,6930,1344,84.02,474.95,164.45,45.65,1,16,1,1,4.49,167.81,495.16
10/09/2026 09:09:20,39,7,6630,1092,157.33,76.64,614.05,111.28,1,9,1,0,1.53,181.42,22.32
10/09/2026 09:09:39,38,11,3420,1265,196.33,529.87,414.9,25.61,1,4,1,1,5.14,129.83,335.1
10/09/2026 09:09:49,47,38,9353,2090,146.96,487.88,297.23,211.9,1,9,1,1,6.83,100.96,454.78
10/09/2026 09:10:02,35,40,7035,10720,304.69,813.48,587.73,240.99,1,12,1,0,1.0,146.48,220.04
10/09/2026 09:10:07,52,32,9516,9248,387.94,886.2,259.05,184.77,2,19,1,1,1.08,8.19,388.67
10/09/2026 09:10:31,21,48,3507,12816,186.26,880.24,352.8,199.45,3,12,0,0,6.44,184.94,411.29
10/09/2026 09:10:53,33,11,1617,594,19.96,102.81,553.23,179.75,1,13,1,0,5.94,160.17,24.48
10/09/2026 09:10:57,52,45,5200,2970,343.32,9.03,431.12,170.94,2,10,0,1,7.18,134.32,118.83
10/09/2026 09:11:23,24,20,6264,3520,341.41,272.55,488.64,102.25,1,2,0,1,1.58,16.96,170.96
10/09/2026 09:11:32,53,22,11978,3300,399.5,270.24,350.04,38.52,3,2,1,0,5.64,119.04,196.18
10/09/2026 09:11:41,59,24,16343,2328,54.18,332.01,91.05,54.48,1,11,0,0,5.11,68.66,210.19
10/09/2026 09:11:42,27,44,7803,12760,216.57,259.66,721.72,62.6,3,11,0,1,4.28,148.46,295.37
10/09/2026 09:11:59,54,30,11286,1380,96.93,293.63,158.14,219.21,1,0,0,0,6.36,156.76,219.19
10/09/2026 09:12:14,34,43,5542,12298,270.0,734.1,725.94,197.96,3,9,0,0,0.9,130.58,477.67
10/09/2026 09:12:29,34,38,5882,10754,14.82,864.0,118.28,15.06,1,1,0,1,3.7,103.22,156.28
10/09/2026 09:12:39,4,2,212,522,154.11,59.17,570.62,55.72,0,19,0,0,3.39,0.33,56.04
10/09/2026 09:12:59,24,20,6336,1640,203.51,443.1,293.15,110.68,0,11,1,0,2.16,64.5,121.24
10/09/2026 09:13:09,50,45,8200,11880,91.69,301.01,747.09,16.9,2,9,0,1,1.29,9.47,69.1
10/09/2026 09:13:10,42,1,11676,63,75.73,33.0,124.08,156.94,0,9,0,0,4.76,169.89,2.37
10/09/2026 09:13:30,34,14,8874,2492,65.52,696.78,690.17,67.29,2,4,1,1,4.87,196.93,180.77
10/09/2026 09:14:15,27,36,6777,2808,319.79,542.66,204.43,106.44,1,12,0,1,0.34,69.3,9.52
10/09/2026 09:14:35,5,35,415,7385,283.38,666.03,281.04,223.05,2,2,1,0,1.24,138.62,86.47
10/09/2026 09:14:38,8,39,1368,2769,2.1,19.84,794.74,148.24,3,7,0,1,7.06,107.24,310.9
10/09/2026 09:14:54,53,9,5883,2043,238.03,268.81,544.35,209.88,0,3,0,0,1.93,174.78,126.83
10/09/2026 09:15:03,21,23,5628,5290,351.41,344.25,432.93,186.72,2,14,1,1,4.6,20.92,451.99
10/09/2026 09:15:28,42,43,11046,10621,40.4,187.94,605.14,10.67,0,19,1,0,5.78,177.51,197.31
10/09/2026 09:15:44,37,15,4810,2970,232.61,371.18,497.35,234.17,2,9,0,0,3.08,78.82,65.55
10/09/2026 09:15:53,20,8,2400,1736,136.12,859.63,225.13,29.24,1,15,1,1,2.3,40.42,92.88
10/09/2026 09:15:59,29,26,1566,4186,104.15,45.43,405.93,240.04,0,13,1,0,0.97,50.49,147.39
10/09/2026 09:16:03,19,38,2242,10146,360.71,886.19,786.6,238.48,2,1,0,0,2.51,110.58,48.49
10/09/2026 09:16:58,49,42,11417,8400,217.17,152.95,232.47,44.28,0,17,0,1,5.91,59.21,185.63
10/09/2026 09:16:58,50,20,3400,4740,309.06,190.1,755.57,34.56,0,17,1,0,2.19,169.3,89.75
10/09/2026 09:17:02,39,20,2145,3120,98.48,640.67,687.01,219.27,2,6,1,1,2.06,48.96,80.63
10/09/2026 09:17:05,3,47,177,12690,311.05,468.31,412.86,134.79,1,10,1,0,1.14,25.13,476.12
10/09/2026 09:17:34,6,24,1536,6888,65.85,501.2,197.87,67.03,3,0,0,0,7.34,64.31,304.06
10/09/2026 09:17:36,5,23,1460,3312,212.99,172.58,791.34,205.49,3,14,0,0,1.31,184.13,170.69
10/09/2026 09:17:46,33,2,9306,258,317.89,562.32,610.64,199.44,3,4,0,1,3.56,127.8,1.15
10/09/2026 09:17:50,33,49,3696,5537,25.29,415.14,138.06,42.32,3,12,0,0,7.38,63.83,363.09
10/09/2026 09:18:03,43,23,5074,4853,240.08,428.14,762.05,88.96,2,3,0,1,6.78,8.05,224.82
10/09/2026 09:18:23,18,44,4212,10296,396.73,480.62,541.6,79.11,1,18,1,0,5.93,80.63,280.91
10/09/2026 09:18:24,9,35,1737,6020,362.88,380.27,531.77,88.88,2,8,0,0,1.09,18.34,333.74
10/09/2026 09:18:37,8,32,1840,6784,8.4,297.26,190.34,195.65,3,17,1,0,5.38,25.87,137.58
10/09/2026 09:18:47,46,6,5152,678,270.06,819.74,193.92,137.81,2,14,1,1,4.92,51.02,312.74
10/09/2026 09:18:58,4,16,904,4688,160.17,618.46,57.65,103.02,2,17,1,1,3.61,187.19,426.99
10/09/2026 09:19:17,20,16,5240,2896,196.18,570.82,293.92,64.83,1,18,1,1,6.76,195.64,372.5
10/09/2026 09:19:26,59,38,5900,9044,192.5,413.52,222.57,162.98,2,5,0,0,4.73,82.0,109.43
10/09/2026 09:19:33,39,40,4485,10520,67.5,11.72,295.46,200.39,0,16,0,0,6.22,23.14,195.03
10/09/2026 09:19:48,27,49,3078,4410,62.01,383.41,510.95,233.56,1,19,1,0,1.19,158.15,135.32
10/09/2026 09:19:55,29,44,2842,9328,45.18,750.11,174.03,108.76,2,11,0,1,5.52,130.54,496.02
10/09/2026 09:20:15,59,11,16048,1199,351.69,91.01,156.68,135.79,0,5,0,1,0.1,87.26,387.31
10/09/2026 09:20:28,4,4,196,508,329.34,155.36,151.62,215.9,2,5,1,1,6.57,18.55,197.24
10/09/2026 09:21:35,32,27,7392,5184,301.06,456.24,610.2,118.85,1,6,0,0,1.75,150.3,59.46
10/09/2026 09:21:36,13,37,806,4699,70.55,741.68,342.87,247.65,0,17,0,1,3.64,78.58,437.54
10/09/2026 09:21:46,39,47,11427,13536,77.32,202.61,538.62,75.83,3,5,1,0,4.45,165.71,355.27
10/09/2026 09:22:04,34,23,1564,4071,240.82,440.14,237.74,107.57,0,5,1,0,4.53,77.07,135.35
10/09/2026 09:22:07,49,6,8575,492,225.86,610.6,90.22,5.26,1,0,0,1,5.21,34.39,445.13
10/09/2026 09:22:18,53,4,8586,1020,374.25,58.24,203.54,148.51,1,9,0,0,1.79,19.83,103.49
10/09/2026 09:22:27,41,5,6109,875,54.31,774.95,283.5,93.39,0,4,0,1,2.19,122.1,102.7
10/09/2026 09:22:34,22,40,5940,1920,40.38,101.13,127.65,156.79,3,8,0,0,6.06,163.96,263.03
10/09/2026 09:23:21,51,7,15249,1085,160.81,294.92,760.97,146.33,0,18,1,1,7.83,99.73,246.84
10/09/2026 09:23:38,11,14,3212,4032,159.31,528.35,137.32,83.67,1,4,0,1,6.94,117.87,179.34
10/09/2026 09:23:44,7,33,1022,5082,253.44,834.46,748.91,100.92,1,15,0,0,4.59,92.36,329.38
10/09/2026 09:23:56,27,17,4968,2312,138.62,343.84,111.93,45.69,1,10,1,1,1.79,112.53,377.77
10/09/2026 09:24:00,23,26,2438,4576,371.04,539.67,548.4,17.88,3,13,1,1,7.4,115.8,2.31
10/09/2026 09:24:06,24,30,1200,8490,225.29,28.75,605.03,213.78,2,4,0,0,0.14,157.33,165.36
10/09/2026 09:24:09,28,44,7504,13024,226.25,246.96,162.05,194.85,1,2,0,0,7.73,192.72,427.82
10/09/2026 09:24:52,32,42,2816,11844,351.32,340.15,116.84,203.69,2,10,0,0,7.86,121.44,212.49
10/09/2026 09:25:07,31,47,2821,6815,323.68,877.1,101.36,164.66,3,17,1,1,3.49,86.22,17.95
10/09/2026 09:25:12,13,26,1768,7748,383.5,41.16,576.41,78.93,2,18,0,0,7.49,167.5,58.75
10/09/2026 09:25:29,17,2,697,514,62.73,483.73,735.97,144.02,2,7,1,0,0.6,193.75,155.33
10/09/2026 09:25:35,47,9,8131,1026,385.77,89.39,699.15,178.42,2,16,0,1,6.75,188.68,63.47
10/09/2026 09:25:41,55,39,6490,7059,217.63,809.53,778.57,177.69,3,9,0,0,3.15,72.32,195.75
10/09/2026 09:25:49,7,4,1596,240,312.06,404.24,747.32,154.99,0,0,0,0,1.73,195.15,109.35
10/09/2026 09:25:56,23,25,4876,7075,390.89,216.54,77.33,42.63,3,1,0,0,4.59,182.49,268.61
10/09/2026 09:26:04,39,31,9633,2852,320.33,557.92,696.74,237.47,0,6,0,0,1.88,87.57,472.85
10/09/2026 09:26:25,51,18,6324,4320,216.42,168.61,283.76,165.03,0,13,0,0,1.91,144.38,84.44
10/09/2026 09:26:31,43,46,10234,4048,43.37,450.39,434.86,129.51,3,8,0,1,3.94,95.59,210.88
10/09/2026 09:26:43,58,3,13340,582,91.57,575.66,78.63,245.44,0,9,0,1,3.86,12.07,411.11
10/09/2026 09:26:50,43,32,10062,7776,171.55,575.95,690.73,159.61,1,6,0,1,5.41,192.12,185.46
10/09/2026 09:26:53,36,21,7308,5271,202.55,664.23,389.38,57.8,2,14,0,0,1.67,125.36,373.63
10/09/2026 09:27:05,14,44,3220,4840,44.73,860.66,157.36,53.43,1,5,0,1,7.07,152.11,354.08
10/09/2026 09:27:18,50,8,11750,1056,191.62,136.95,247.81,80.54,1,2,1,1,5.67,13.99,240.56
10/09/2026 09:27:19,15,39,2865,9126,326.12,406.18,663.62,63.98,1,7,0,0,3.79,78.41,120.46
10/09/2026 09:27:36,54,37,4590,4477,109.49,122.15,373.5,79.23,3,7,1,0,6.13,186.0,248.97
10/09/2026 09:27:36,38,32,1748,8480,399.53,554.1,716.23,227.61,2,15,0,0,0.74,3.16,238.6
10/09/2026 09:28:05,28,24,4676,3480,227.48,499.19,675.83,31.62,2,4,0,1,6.8,198.96,436.46
10/09/2026 09:28:20,7,44,567,5324,160.96,244.94,500.79,235.01,1,6,1,1,2.44,33.96,97.59
10/09/2026 09:28:27,45,2,9135,572,161.45,751.54,557.81,52.02,2,3,0,1,2.19,182.66,70.03
10/09/2026 09:28:58,18,33,5382,8283,94.48,252.21,773.03,69.83,0,8,1,0,2.1,155.16,385.92
10/09/2026 09:29:11,35,18,8085,4626,85.62,8.85,474.09,248.55,3,0,0,0,4.2,161.99,44.52
10/09/2026 09:29:22,9,19,1143,4446,148.93,174.01,188.58,105.46,1,9,1,1,5.17,138.08,491.49
